Frame, Time_s             , Gust_Factor       , Drag_kN           , Lift_kN            , Moment_kNm        , C_D                , C_L                 , C_M
    0,  0.0               , 0.9117201361995054, 1396.1453756716614, -1577.4568295298818, 121240.3080049895 , 0.12452392617479671, -0.14069531812889344, 0.06007540247160814
    1,  0.04              , 0.8378639840133093, 1283.0471547971183, -1449.671024387349 , 111418.9359812851 , 0.11443655651251698, -0.1292979447299374 , 0.05520884540938793
    2,  0.08              , 0.7694267012675268, 1178.2470170845188, -1331.260939126077 , 102318.16381482768, 0.10508930311109085, -0.1187368033385314 , 0.050699350508732956
    3,  0.12              , 0.7168931283184251, 1097.800724380999 , -1240.3674290039828,  95332.26286555003, 0.09791419915113976, -0.1106298991855404 , 0.04723778877187748
    4,  0.16              , 0.6896157172055566, 1056.029977116081 , -1193.172092690304 ,  91704.91978778431, 0.09418861473900043, -0.10642048899278597, 0.045440415448721544
    5,  0.2               , 0.6946986198190053, 1063.8135838359428, -1201.9665232650668,  92380.84286323894, 0.09488284421212491, -0.10720487509091298, 0.0457753399591089
    6,  0.24              , 0.7365446683472091, 1127.893738285882 , -1274.3684944607644,  97945.5195780691 , 0.10059823213736513, -0.11366249610458819, 0.04853267535992338
    7,  0.28              , 0.8161274546808811, 1249.7613319818806, -1412.0625135249627, 108528.4179301993 , 0.11146775296588203, -0.12594359531061647, 0.053776573930307874
    8,  0.32              , 0.9293785644648128, 1423.1862755984828, -1608.0094159649996, 123588.52123048024, 0.12693573735496672, -0.14342034095530606, 0.06123895819768484
    9,  0.36              , 1.0652920135522876, 1631.3147636080323, -1843.1666643084582, 141662.25655245638, 0.14549897362490388, -0.1643943056601648 , 0.07019461775925864
   10,  0.4               , 1.2054527663006072, 1845.9472796956281, -2085.6725911562826, 160300.7972171971 , 0.1646423121723992 , -0.18602370805475532, 0.07943014223410289
   11,  0.44              , 1.3265974850420377, 2031.4599519976048, -2295.277004125318 , 176410.59059591315, 0.18118841597559893, -0.20471858389023995, 0.08741265512017196
   12,  0.48              , 1.4062699314131137, 2153.464844895008 , -2433.1261528534596, 187005.41191663753, 0.1920701826890483 , -0.21701351930212257, 0.09266246160310418
   13,  0.52              , 1.429578253908398 , 2189.1576034229756, -2473.4541779186266, 190104.94661616458, 0.19525366379736292, -0.2206104255437626 , 0.09419830226214589
   14,  0.56              , 1.3939740676728816, 2134.6358066636335, -2411.851867618463 , 185370.3111353086 , 0.1903907975709061 , -0.2151160395910647 , 0.0918522579741598
   15,  0.6               , 1.3097362836697248, 2005.6398703853324, -2266.103778479884 , 174168.39239654594, 0.17888549108501076, -0.2021165879520985 , 0.0863016305651819
   16,  0.64              , 1.1960323484845674, 1831.5215011605792, -2069.373398201214 , 159048.07249147884, 0.16335565921160117, -0.1845699629536986 , 0.07880940855796802
   17,  0.68              , 1.0746158852018168, 1645.5926979981946, -1859.2988132292005, 142902.14259391214, 0.1467724401842683 , -0.16583315189799366, 0.07080898977946432
   18,  0.72              , 0.9640376423420609, 1476.2607985601817, -1667.9765011832526, 128197.47644619236, 0.1316695194483004 , -0.14876887916827194, 0.06352272705404677
   19,  0.76              , 0.8763739796389091, 1342.018707771629 , -1516.3009617911614, 116539.98524359605, 0.11969630197811958, -0.1352407509382895 , 0.05774636037097646
   20,  0.8               , 0.8167588639363854, 1250.728228595466 , -1413.1549768838127, 108612.38256975815, 0.11155399166611109, -0.12604103346356   , 0.05381817898392316
   21,  0.84              , 0.7846915742791337, 1201.622591473178 , -1357.6721998057428, 104348.08268148667, 0.10717419939065383, -0.1210924562185016 , 0.051705189201374936
   22,  0.88              , 0.7758709185340866, 1188.1152472346557, -1342.4107142977473, 103175.11416091264, 0.1059694627163185 , -0.11973126552315506, 0.051123975270797394
   23,  0.92              , 0.7839152385308763, 1200.4337644177438, -1356.3289848437462, 104244.84575438932, 0.10706816644088721, -0.12097265322113532, 0.05165403459737104
   24,  0.96              , 0.8019718869463593, 1228.0844712349608, -1387.5705711929927, 106646.01419249862, 0.10953436704892319, -0.1237591287987703 , 0.05284382999376349
   25,  1.0               , 0.8243364058346011, 1262.331953971382 , -1426.2656286548881, 109620.04213236252, 0.11258894222874005, -0.12721038864797943, 0.05431748119433433
   26,  1.04              , 0.8478709616908179, 1298.3711506750003, -1466.9850823461225, 112749.6612857383 , 0.11580332258476948, -0.13084220689103734, 0.055868228906177535
